page,col,seq,彝文,IPA,直译,意译
23,L,2,公 电,4D21 1p21 tur33 tce4,棕 叶 牛 拦 绳,棕 索 做 鞭 绳
23,L,3,会 每,ID21 Ip21 tD33 mu33-,牛 吆 牛 起 做,吆 牛 牛 起 身
23,L,4,11! Z 住,44 V133 ob tsu 44 tsi33,郭 娓 者 资 玛,郭 娓者资 玛
23,R,1,每,Ilp21 qe31 1p21 do44 mu3,牛 吆 牛 迈 做,吆 牛 牛 出 栏
23,R,2,正 灶,tsh;33 1D21 qe 31 qD 33 du²1,牛 吆 门 处 到,役 牛 至 房 门
23,R,3,正 M7 与 圣,tshi33. si44 ni21 9D33 m1²1,门 槛 木 二 块,两 截木 做 槛
24,L,1,正 7 W,33 si44 diss qD bD21 m1,门 面 木 四 块,四 块 木 做 面
24,L,2,日 A 7,4u33 qD 33 du21 1033 ne 33,银 门 处 处 hui,牛 在 银 槛 叫
24,L,3,7科 九万 田,ne33kh.33 de21,打 也 它 不 掉,棒打尾 不 释
24,R,1,九万 田,"dzi31 kh,33 4y4 n033",扯 也 它 不 脱,硬 扯 尾 不 脱
24,R,2,万 效 国,kh133 zi33 A33 m133 3G 33,它 呢 什 么是,此 状 是 什 么
24,R,3,万 效,kh33 zi33 A33 m133 dlp33,它 呢 什 么 成,此 状 兆 什 么
24,R,4,万 弯,"kh,33 4033 to33 33 e",它 呢 舒 础 是,此 状 是 舒
24,R,5,万,"kh,33 zi33 to33 4033 dlp33",它 呢 舒 咄 成,此状兆舒 咄
25,L,1,W 不 分,lur's phu33 ZD 21 33 np,勒 普 毕 绕 我,勒 普 毕 绕 我
25,L,2,Z 世住子,php21 ob 44 tsu44 tsi33,郭 娓 者 资 帕,郭 帕 尾 者 资
25,L,3,田 开飞田 开,ne²1 tgh33mp²1 mD De?,不 喜她 不 喜,心 中不爽快
25,R,1,田 田,1x44 tch133 mp²1 1y4,释她 不 不 释,心 中 存 忧 郁
25,R,2,的 男每,ID21 qe 21 Ip21 mu33,牛 赶 牛 走 做,吆 走 牛 朝 前
25,R,3,田 电 日 N,21 tsh;33 1033 tsh:33 mp,方 不 到 地 到,走 出 一 程 来
25,R,4,与,"tsh,33 ni²1 kD33 e tsh:33",十 二 路 大 到,至十 二大道
26,L,1,年 # 日,kD33 21 kD33 ts133 1033,路 大 路 边 处,在 那 大 路 边
26,L,2,田 Z 九,si33 21 mp²11 nu nu,不 长 它 也 长,独 此 长 一 丛
26,L,3,来,si21 tche31 th121 bur33 mu,肆 潜 一 丛 长,长 一 丛 肆
26,L,4,￥ 來 女,si21 tche31 bu np 33 33 qo,肆 潜 丛 处 里,肆 潜 棵 丛 里
26,R,1,田 WI 配,21 oG 33 th21 033 n03 mD,不 见 一 样 见,见 一 异 样 物
26,R,2,效 企 去,A33 33 di21 mi oG 33,什 么 见 的 有,见 到 了 什 么
26,R,3,3 SS ml7= 配,"va31 th121 q""u²",蛇 绞 一 堆 见,一 堆 蛇 蠕 动
27,L,1,去 目,A33 m133 dlp33 1$033,什 在 么 成 的,此 状 是 什 么
27,L,2,弯,dlp33 IP 4033 to33 1$03,舒 咄 成 的 在,此 状 兆 舒 咄
27,L,3,万九,kh33 ne 33 4033 to33 D033,它 也 舒 咄 是,此 状 是 舒
27,R,1,世住,ob 44 V133 ms tsi33 phD²1,郭 娓 者 资 帕,郭 娓 者 资 帕
27,R,2,田 丑 正 田 丑,ne33 tch133 mp21 ne21,不 喜她 不 喜,中 快 心 不 爽
27,R,3,田 飞 田分,mp 21 1x4 tgh33 mp21 144,她 不 释 不 释,心 中 存 忧 郁
28,L,1,晃,44 33 1p21 qe 31 1D21 mu,牛 赶 牛 走 做,吆 牛 朝 前 走
28,L,2,田 电 日,tsh33 mp 21 tu31 1033 tsh;33,不 到 地 处 到,走 出 一 程 来
28,L,3,十 与 介,tsh133 ni21 m133 Ze1 tsh:33,十 二 地 大 到,来 到 大 田 旁
28,L,4,4 日,Zae niss 1033 m133 21 m133,地 大 地 边 处,大 块 耕 地 边
28,L,5,Z 分,si33 th2i 9021 ZD21 Z.O 44,耕 主 儿 一 人,之 男 人 犁 地
28,R,1,田 全,33 21 33 m133 ob 1D21 mp as,地 中 牛 不 找,不 在 地 中 架
28,R,2,生 分,mi33 niss 1p21 SD 33 yD 33,地 头 牛 找 得,地 角 边 架 犁
28,R,3,企 WI,mi 33 55 1p21 th121 tsu np,地 对 犁 牛 一,一 对 壮 役 牛
28,R,4,全 公会,1p21 tsu 33 33 1D33 as tD33,牛 对 找 了 起,架 上 担 与 犁
28,R,5,Z Z IM,si33 th21 duss mp 33 ZO,耕 主 女 一 人,播 种 之 女 子
29,L,1,π 众,tshi21 55 fuss ze d2133,粪 箕 腋 下 扭,粪箕 挎 腰 际
29,L,2,π 公会,tshi21 fu's bu21 1D33 tD33,粪 箕 背 了 起,箕 背 粪 起 身
29,L,3,与,"tsh,33 ni21 m33 ZE 21 33 mp",十 地 大 大 二,十 二 大 地 块
29,L,4,白 7 众 企,4i33 me 55 m33,北 方 犁 先 地,开 犁 在 地 北
29,L,5,#,55 tsiss tsh33 np ID33 4i33,犁 了 南 方 到,收 犁 南地 角
29,R,1,# Z 日,4i33 niss m33 10-33,南 边 地 头 处,南 边之 地 头
29,R,2,Z: 勿,th21 120b si33 ZD21 2.04,耕 主 儿 一 人,子 掌 犁 N 男
29,R,3,田 际,ts04 gu 21 sw 55 ts044,不 铲 犁 铲 三,铲 三 下 犁 铧
29,R,4,科 OX,dae2i gu21 niss mx tsess,铁 打 犁 头 接,木 犁 接 铁 铧
29,R,5,西不行,"h44 gu21 mD 33 ms 55 mx 21 ts""o",犁 大 三 次 铲,犁 铧 铲 三 次
30,L,1,飞比,1D21 4021 Ve21 di²1,牛 脸 旋 地 返,折 身 再 回 犁
30,L,2,折 身 再 回 犁,55 Ip33 33 tsh:33 90'5 ob,犁 了 中 央 到,犁 到 地 中 央
30,L,3,十 与 介,21 t5133 n1²1 m133 ob 33,十 二 地 大 里,四 周 旷 茫 茫
30,L,4,去 目,dp²1 tho33 t$03,地 底 通 的 在,陷洞之征 状
30,R,1,,dp21 tho33 h33 33 ab ms,地 底 何 为 通,陷 洞 兆 什 么
30,R,2,田,th121 mp21 dlp33 kho33 dlD33,不 成 一 样 成,陷 洞 兆 一 像象
30,R,3,万 弯,"kh,33 zi33 4033 to33 dlD33",它 呢 舒 咄 成,陷 洞 兆 舒
30,R,4,万 弯 亏,kh33 4033 to33 D33,它 呢 舒 础 是,此 状 即 舒 咄
30,R,5,Z 住,"44 h21 ob tsw 44 tsi33 p""D",郭 娓 者 资 帕,郭 娓者资 帕
31,L,1,Z 住,qo 44 V33 ms tsi33 mp 33,郭 娓 者 资 玛,郭 娓 者 资 玛
31,L,2,田 正 田 丑,mD ne21 tch33 mp ne,不 喜 她 不 喜,心 中 不 爽 快
31,L,3,田 h 正 田 h,1x44 tch33 21 mp mp 1y44,不 释 她 不 释,心 中 存 忧 郁
31,L,4,4P 去 灶,lp21 Z8 21 du2l du21,牛 大 放 的 想,无 心 再 犁 地
31,R,1,%,1p21 dur21 1D33 n33 1 XD,牛 大 放 了 毕,吆 牛 往 回 去
31,R,2,吆 牛 往 回 去,Ip21 31 ge31 1D21 qo,牛 大 牛 回 去,走 回 了 家 中
31,R,3,W tQ,ob 31 pu 44 lurss he33 tsh:33,回 返 自 房 到,自 家 院 坝 里
32,L,1,不 下 日,fuss 1e33 1033 xu kD33,毡 子 脖 处 过,脖 上 围 毡 子
32,L,2,W,ci4 tshi33 tho33 ni tshi21,脚 底 泥 浆 抹,脚 裹 团 趾 泥
32,L,3,Z,tsh;33 bp21 niss tshi21 dzo 44,脚 邦 泥 浆 沾,腿 杆 沾 泥 浆
32,L,4,田 7,tsho33 33 ob mD21 Sass,亲 戚 我 不 知,是 否 亲 眷 至
32,R,1,安 田,9033 qess kh133 mp21 3G 33,亲 戚 他 不 是,肯 定 非 亲 戚
32,R,2,7 分 WI,du21 ZD 21 th21 tsu,渎 尼 绕 对 一,一 对 渎 尼 绕
32,R,3,w 飞 住 众,lur's V133 tsi33 dz1'3 hy31,自 家 院 坝 站,站 在 院 坝 中
33,L,1,号,ke31 kha44 Ve21 xu zu,左 手 铁 扣 使,左 手 抓 门 扣
33,L,2,号,33 dz.04phu33 ZD 1e33 xw,右 手 铁 锁 开,右 手 来开 锁
33,L,3,W 飞 正 灶 日,luss V133 qD 33 du21 1033,自 家 门 户 处,他 家 之 门 锁
33,L,4,y,kh33 zi33 phu33 Ip33,那 样 开 了 进,如 此 来 打 开
33,L,5,飞 世 住,44 44 tsi33 php²1 ob V133 tsu,郭 娓 者 资 帕,郭 娓者资 帕
33,R,1,,1D21 qe31 1p²1 33 m6,牛 赶 牛 进 做,吆 牛 关 畜
33,R,2,U,th21t tch2thu3 4021 pu44,脸 返 一 句 冏出,转 身 说 二 句
33,R,3,与 tQ,ni²1 Z.04 he33 m6,你 二 人 房 进,二 位 请 进 屋
33,R,4,灶 世 分,du21 ni44 th12i ZD1,渎 绕 对 尼 一,一 对 渎 尼 绕
33,R,5,7 四 每 田 社,du²1 1i44 31 mu33 mp2 tsa,槛 跨 做 不 好,不好进 你 门
34,L,1,企 Y 众 % 特,m133 vi21 kD33 t133 33 33,地 远 路 程 长,地 远 路 途 遥
34,L,2,Z 勺 @3,dze 44 4i33 the21the21 pu44,寒 风 逆 朴 朴,寒 风 冒 凛 凛
34,L,3,弯 日 飞E,vi31 bp21 4u33 ku3 1033,衣 穿 身 处 薄,身 上 衣 单 薄
34,R,1,W Z tQ 日,luss V133 he33 1033,自 家 房 大 处,你 去 屋 子 里
34,R,2,子 子,si21 mu21 dz.j33,火 塘 N 木 炭,火 塘 N 木 炭
34,R,3,万 水,kh33 2i33 nig44 thu31 133,那 样 夹 出 来,夹 出 木 火 炭
34,R,4,小 与,ni33 31 ni21 du21 pG 204,渎 尼 我 二 人,我 们 两 渎 尼
35,L,1,万 飞,"1,33 kh,33 zi33 qhx21 do44",那 样 出 来,快 瓢 来 百 一
35,L,2,号,Ve21 le44 fa44 2.133 bu,左 手 盆 沿 拿,左 手 扶 盆 沿
35,L,3,号,ZD 33 1e44 fa44 ab h33 mu 55,右 手 盆 面 揉,右手 揉拌 面
35,R,1,万 田,kh133 zi33 mp 21 33 1D33 3G,那 样 不 是 啊,不 能 这 般 说
35,R,2,金 每 7.0 配,tshi21 k033 tciss mu 33 no 55,赶 快 做 去 要,快 依 拿 来 我
36,L,1,住 众 日,d2133 1033 Enu tsi33,你 家 院 坝 里,你 家 院 坝 里
36,L,2,7,si44 th121 tsi33 bur²1,树 大 一 棵 倒,棵 树 倒 下 一
36,L,3,WI,th121 mx tD33,水 浑 一 塘 起,一 塘 水 起 浑
36,L,4,Z 世 住,44 44 tsi33 33 qo V33 ms mp,郭 尾 者 资 玛,郭 尾 者 资 玛
36,L,5,郭 尾 者 资 玛,ni44 si33 ni44 bur²1 la31,哭 倒 哭 摇 资,抢天 呼地 哭
36,R,1,万 配,"kh,33 zi33 tp² :44 ni",那 样 莫 哭 要,莫 要 如 此 般
36,R,2,果 九 田斋,ni44 ne33 mp²1 khp21,哭 也 哭 不 效,恸 哭 济 不
36,R,3,世 住,"44 phD2 ob V33 ms, tsi33",郭 娓 者 资 帕,郭 娓 者资 帕
36,R,4,%。水,si21 133 thu31 dz133 nia,火 炭 夹 了 冏出,夹 出 火炭
37,L,1,7飞,z.133 eub b121 tce 33 1D33,水 清 百 了 给,百 出 瓢 水 一
37,L,2,Z8 万 WI,du21 kh133 th121 tsu 33 ni4,渎 尼 那 对,一 对 渎 尼 绕
37,L,3,7 每,si21 dzi33 X0.33 du33 mu33,火 炭 处 做 净,火 炭 来 净 有
37,L,4,万 ZZ,"kh,33 zi33 1p33 dlu33 X0.33",样 进 那 净 了,净 身 进房 门
37,R,1,灶 分 IU,du21 niss ZD21 th121t tsu,渎 尼 绕 一 对,渎 尼 绕 二 人
37,R,2,田 西 本,tch21 mp²1 dzp²1 tsp33 ssms,不 吃 饭 三 口,急 点 饭 促 吃
37,R,3,田 ZZZ 同,tsiss su 55 mu 33,不 喝 水 三 口,急 促 喝 点 水
38,L,1,ZZZ,"kh,33 zi33 tsi'ss dzD21 do4",那 样 喝 吃 毕,饮 食 忙 完 毕
38,L,2,W IM 正,lur*s th33 th21 188,勒 娓 浸 堤 额,勒 娓 浸 堤 额
38,L,3,Z: 3 正 飞,"si33 SD33 tch,33 V133",斯 浸 额 娓,斯 巢浸 额 妮
38,L,4,不,33 s121 4033 mo21 SD 20.'S,舒 莫 找 要 还,该 备 舒 莫
38,L,5,效 企 晏,4033 mo21 A33 m133 mo21,舒 莫 什 么 莫,应备 什么莫
38,R,1,介 2,"A33 ky44 lass teiss p""D h21",阿 格 里 几 帕,阿 格 里 几 帕
38,R,2,介,A33 ky44 teiss mp 33,阿 格 里 几 玛,阿 格 里 几 玛
38,R,3,2 万 IM,kh3 th121 tohea3 mo²1,里 莫 那 一 只,选 一 只 里 莫
38,R,4,WI,"th21 mo²1 du² 1p33 tsh,3",一 莫放 了 下,界 将 它遣 凡
39,L,1,弯晏万九 目,kh133 ne 4033 mo²1 33 t$033,舒 莫 它 也 有,与 作 祭 奠 莫
39,L,2,川分,"mo21 th121 to""e"" h33 ax 33",莫 大 一 只 得,得 这 只 里 莫
39,L,3,年 分,1033 mo21 as 33 ID33 YD 33,舒 莫 找 了 得,就 有 了 舒 莫
39,R,1,介 习,33 ce 44 m133 tsi33 ne3 mp,汉 地 酒 美 大,夏 人 售 美 酒
39,R,2,WI 与,th121 phu2i ni21 phu21 b121,一 价 二 价 给,价 一 付 二 款
39,R,3,WI 百 7科 分,th121 tsi33 de21 1D33 YD 33,一 斤 打 了 得,打 回 一 斤 来
39,R,4,弯 每,1i33 C133 mu? bi21 tsi33 33,吊 献 酒 做 给,用 作 祭 奠 酒
40,L,1,7^ W,tshp21 A33 do44 du21,阿 纳 盐 出 处,阿 纳 产 盐 地
40,L,2,瓷 电 半,kh021 1021 tsi33 133,马 来 嗑 罗,嗑 罗 马 去
40,L,3,IM 3=,th21 tsi33 tsi33 Ip33 9031,一 驮 驮 了 回,驮 回 一 驮 来
40,L,4,W 九 目,1033 tshp21 1$03 ng33,吊 献 盐 也 有,祭 奠 盐 有 .了
40,R,1,效 44 飞,A33 1844 le44 kur's 1h33,阿 勒 匠 来 工,阿 勒 制 香 郎
40,R,2,与 4 日,tsh33 ni21 33 1033 pu,十 二 山 大 处,十 二 大 山 中
40,R,3,国,"055 md 33 De33 p""e h33 tSD 33",山 头 安 召,山 头 安 召
41,L,1,,Ve21 1e44 tehe33,左 手 竹 厂条 拿,左 手 拿 竹 条
41,L,2,号 圣 答,"33 21 33 Z,D le31 mi ob 1e33",右 手 面 尘 裹,右 手 裹 香 泥
41,L,3,金 丑 WI 本,$033 th121 tsa ku33,香 好 一 把 制,制 优 作 质 香
41,L,4,零 金 九,4033 133 $033 ne33 t$033,吊 献 香 也 有,祭奠香有了
41,R,1,w 飞 WI,lurss tg121 th21 V3 188,勒 娓 浸 堤 额,勒 娓浸 堤 额
41,R,2,W 决不 分,phu33 lh33 lur*s b133 ZD21,勒 普 毕 绕 来,勒 力普毕 绕 啊
42,L,1,W Z tQ 日,V133 lur's he33 ob 33 1033,自 家 房 里 处,你 家 房 屋 内
42,L,2,弯 目,qe31 4033 thu31 1$033 zi33,舒 赶 出 的 在,将 舒 驱 出 屋
42,L,3,日,4033 qe31 qhD33 1033 tsh:33,舒 赶 何 处 到,驱 舒 驱 何 处
42,L,4,t 7# tQ 有,he33 du²1 he33 kDss be44,房 椽 房 间 条,橡 子 与 编 条
42,L,5,70,tshi21 kurss be44 th12lt,九 条 道置 呢,插在九道条
42,R,1,200 WI70,tche33 si21 be44 th121 tshi21,七 条 一 道 置,条 插 在 七 道
42,R,2,面 70,55 th121 tche3 tsh;21 ms be44,三 条 一 道 置,插 在 三 道 条
42,R,3,3,phu21 hx² phu2i tu 33 SD 33,普 站普 适 宜,普立普 心 适
43,L,1,星洲星无 w,phu²1 hx31phu²1 lurss,普 站 普 也 喜,普 灵 心 中喜
43,L,2,级 %3=,"phu21 hx31 tce's dz,i21 dz,j21",普 站 油 亮亮,普 灵 容 焕 奂然@
43,L,3,洲子每,phu21 hy31 mu²1 mu tDss,普 站 天 做 搁,普 灵禾 若 高 置
43,L,4,洲星九,phu21 hx1phu21 ne33 mu33,普 站普 也 高,置 于 半 空 中
43,L,5,日 m,du33 1033 diSs 4e44 Te&zp,后 处 孙 重孙 些,来 未 的 子 孙
43,R,1,m 田 π,liss 4e4 g0 44 mp21 dzi31,孙 重孙 怕 不 胜,经 不 住 惊 吓
43,R,2,经 不 住 惊 吓,"p""u h21 pD nh21 lur²1 mu² 33 tDss",普帕 光 的 搁,普 灵 若 光 体
43,R,3,Z4 日 m,du33 1033 diss 4e44,后 处 孙 重孙 些,未来 的 子 孙
43,R,4,m π,4iss dze44 4e44 mp dzi21,孙 重孙 冷 不 胜,随 时 受 寒 冷
43,R,5,星子 每,phu²php2i mu 33 tDss,普帕 空 的 搁,普灵 空壳 若
44,L,1,如 日 W,du3 1033 liss 4e44 dzy31,后 处 孙 重孙 些,未 来 的 子 孙
44,L,2,电开,"p""u²l p²D²i th121 m dz.i21",普 帕 一 地 上,普 灵 居 一 地
44,L,3,W 雪4电 田,diss 4e44 tsh33 tu 33 me 44,孙 重孙 十 地 盛,子 孙 十 受 惠
44,L,4,4电 去,tsh33 tu33 zu2 me 44,十 地 盛 的 使,十 地子孙盛
44,R,1,Z4,lp21 th21 tc23 duss mu33,耕 做 牛 一 条,耕地之 役 牛
45,L,1,WI,aGi 55 mu33 1p21 th21tche33,犁 做 一 条 牛,播 种 N 役 牛
45,L,2,弯,"do44 z,133 4033 do44 Z,133",出 去 舒 出 去,出 去 舒 去 出
45,L,3,7儿 71L,"q155 z,133 4033 9 .13",隔 去 舒 隔 去,离 去 舒 离去
45,L,4,%3=,Ip21 hy31 dzi²l dz.i2 tce,牛 站 油 亮亮,牛健毛色亮
45,R,1,弯 有,4033 qe21 gD 21 knss tsh:33,舒 屋 赶 堂 到,驱 舒 至堂 屋
45,R,2,有 荟,21 kD5s dle44 1o21 gD,堂 屋 鸡 走 场,堂 屋 鸡 戏 场
45,R,3,科 ZI 3=,ni²1 VD21 tu33 de21 ni²1,鸡 翅 打 拍 拍,雄 鸡 膀 振 翅
45,R,4,3=,niss thu33 tsy4 tsy4 VD,鸡 嘴 hu 鸣 鸣,引 颈 高 亢 鸣
45,R,5,九 田 配,1033 VD21 ne33 mp²1 no,鸡 也 舒 不 要,鸡不要舒在
46,L,1,弯,"z,j33 z133 do44 4033 do4",出 去 舒 出 去,出 去 舒 出 去
46,L,2,N,4033 qe21 kD33 yo21 tsh;33,舒 赶 灶 旁 到,驱 舒 至 灶 台
46,L,3,分,tDsp phi21 21 ku33 li2! ZD,沽 道 频 里 绕,沽 道 频 里 绕巴
46,L,4,年 面,kD33 niss nur? su 55 mp 33,镐 孽 尼 塞 玛,镐 孽 尼 塞 玛?
46,R,1,年 芝万荟 3,seskhu²11e21 kD33 1e21,灶 蒸气 腾 腾,灶 气 雾 腾 上
46,R,2,又 九,"tshi21 ne 33 me 33 1D33 tD,ss",中饭 也 熟 了 搁,中 午 饭 熟 了
46,R,3,九 又,tsu”3 ne33 me 33 1D33 tDss,晚饭 也 熟 了 搁,晚 饭 也 熟 了
46,R,4,年 %3=,"kD33 hy31 tcess dz,i21 dzj21",灶 站 油 亮 亮,灶 身 净 又 亮
46,R,5,年 九 田 配,kD33 ng33 4033 mp 21,灶 也 舒 不 要,灶 不 要 舒 邪
47,L,1,7I儿L 7儿,"z,133 z,133 4033",隔 去 舒 隔 去,离 开 舒 开 离
47,L,2,零 76,1033 qe21 qD 33 du21 tsh;33,舒 赶 门 槛 到,驱 舒 至 门 槛
47,L,3,w Z 灶 日,lurss V133 33 du21 1033 qD,自 家 门 处 处,你 家 N 房 门
47,L,4,7 与,si44 ni44 qD 33 tsi3 m121,门 槛 木 二 块,门 槛 二 截 木
47,R,1,7 W,33 si44 1i44 ab bD21,门 面 木 四 块,门 面 四 块 板
47,R,2,台 A 张 品,0.55 qD 33 lu21 2i44 tyss,门 头 龙 影 戴,门 雕 飞 龙
47,R,3,正 A 3= 西,qD? 4u133 qD 33 dle31 dle31,门 白 门 宽 宽,白 木 门 宽
48,L,1,,"do4 z,j33 4033 do44 z,133",出 去 舒 出 去,出 去 舒 出 去
48,L,2,住 Z,4033 qe31 tsi33 niss tsh:33,舒 赶 院 坝 到,驱 舒 至 院 坝
48,L,3,住 日,tsi33 niss tsi33 le31 1033,头 角 院 院 处,院坝 边 角 处
48,L,4,办 7 @3=,tshi21 me's fi33 the2the1,狗 尾 甩 摇 摇,狗尾甩悠 悠
48,R,1,九,tshi21 niss thu33 tsy,狗 嘴 叫 扬 扬,狗 嘴 吠 声 扬
48,R,2,九 田 配,tsh21 21 ng33 4033 mp,狗 也 舒 不 要,狗 不 要舒 伴
48,R,3,不,"z,133 do44 Z,j33 4033 do44",出 去 舒 出 去,出 去 舒 出 去
48,R,4,弯,"qe31 p""u33tche4 tsh:33 4033",舒 赶 王村寨到,驱舒至村中
49,L,1,九 W 3,ci31 mo²1 exZPexzp,老 也 少 全全,老 少 老 与 少
49,L,2,4 九 半3,ne33 nass,大 全全 也 小,大 大 与 小 小
49,L,3,3=,pbp21 ne33 ZD21,父 与 子 些 些,所 有 的 父 子
